"county","Variable","col","Value"
"Wyandotte","Citizen","Naturalized",0.0310063057348606
"Allen","Citizen","U.S. Born",0.985628010090972
"Anderson","Citizen","U.S. Born",0.99176798378926
"Atchison","Citizen","U.S. Born",0.986653039139061
"Barber","Citizen","U.S. Born",0.982599580712788
"Barton","Citizen","U.S. Born",0.946384904558561
"Bourbon","Citizen","U.S. Born",0.980961382662706
"Brown","Citizen","U.S. Born",0.982085020242915
"Butler","Citizen","U.S. Born",0.966970283846759
"Chase","Citizen","U.S. Born",0.977957384276267
"Chautauqua","Citizen","U.S. Born",0.996875
"Cherokee","Citizen","U.S. Born",0.980240549828179
"Cheyenne","Citizen","U.S. Born",0.963460104399702
"Clark","Citizen","U.S. Born",0.945920745920746
"Clay","Citizen","U.S. Born",0.978031112694454
"Cloud","Citizen","U.S. Born",0.959845807902345
"Coffey","Citizen","U.S. Born",0.982856467249941
"Comanche","Citizen","U.S. Born",0.969651741293532
"Cowley","Citizen","U.S. Born",0.957897946173674
"Crawford","Citizen","U.S. Born",0.958782821086912
"Decatur","Citizen","U.S. Born",0.988296041308089
"Dickinson","Citizen","U.S. Born",0.970690715310514
"Doniphan","Citizen","U.S. Born",0.993383382109683
"Douglas","Citizen","U.S. Born",0.921629685040055
"Edwards","Citizen","U.S. Born",0.873286526245403
"Elk","Citizen","U.S. Born",0.971300782705926
"Ellis","Citizen","U.S. Born",0.957438002276412
"Ellsworth","Citizen","U.S. Born",0.975663026521061
"Finney","Citizen","U.S. Born",0.779495327606172
"Ford","Citizen","U.S. Born",0.719940081811373
"Franklin","Citizen","U.S. Born",0.980856599231158
"Geary","Citizen","U.S. Born",0.879903226683339
"Gove","Citizen","U.S. Born",0.983180987202925
"Graham","Citizen","U.S. Born",0.980331662167374
"Grant","Citizen","U.S. Born",0.817297850562948
"Gray","Citizen","U.S. Born",0.8959604286892
"Greeley","Citizen","U.S. Born",0.915849673202614
"Greenwood","Citizen","U.S. Born",0.991240419208509
"Hamilton","Citizen","U.S. Born",0.814385150812065
"Harper","Citizen","U.S. Born",0.979696297560143
"Harvey","Citizen","U.S. Born",0.942127170948758
"Haskell","Citizen","U.S. Born",0.80363196125908
"Hodgeman","Citizen","U.S. Born",0.940691077875193
"Jackson","Citizen","U.S. Born",0.98134328358209
"Jefferson","Citizen","U.S. Born",0.989946026034501
"Jewell","Citizen","U.S. Born",0.985516787360105
"Johnson","Citizen","U.S. Born",0.909104221137798
"Kearny","Citizen","U.S. Born",0.862854251012146
